SAS Program Brood Tables,,,Age Class,,,,,,,,,,,,,,,Total,
BRYR,STOCK,SPWN,R0_2,R1_1,R0_3,R1_2,R2_1,R0_4,R1_3,R2_2,R3_1,R1_4,R2_3,R3_2,R2_4,R3_3,TRTRN,Run,
1972,FISH,6981,0,404,0,16832,220,0,5002,249,0,0,115,0,0,0,22822,104008,
1973,FISH,2705,0,202,0,2904,10,0,525,102,0,0,0,0,0,0,3743,98417,
1974,FISH,16225,0,601,0,2877,0,0,804,1028,0,0,0,0,0,0,5310,98587,
1975,FISH,29882,0,1894,0,91054,0,0,19940,10842,503,0,420,0,0,0,124653,68057,
1976,FISH,14032,0,11122,0,61488,2387,0,36664,4286,0,0,1635,0,0,0,117582,250761,
1977,FISH,5146,0,3257,0,56561,0,0,50305,1125,0,0,724,0,0,0,111972,318437,
1978,FISH,3398,0,656,0,12699,0,0,3418,5603,0,0,4707,704,0,0,27787,149659,
1979,FISH,65552,0,2293,0,228862,588,0,30427,30500,0,0,1877,0,0,0,294547,74900,
1980,FISH,58963,0,11566,0,249384,1346,0,71193,5806,0,131,1290,0,0,0,340716,210619,
1981,FISH,45987,0,1369,0,65777,171,0,19708,9959,0,0,0,0,0,0,96984,191620,
1982,FISH,21438,0,4835,0,38516,1032,0,8462,12392,0,0,0,0,0,0,65237,147461,
1983,FISH,108040,0,4264,0,181669,0,0,3740,4663,0,0,7289,393,0,0,202018,144881,
1984,FISH,179777,0,8096,0,166341,739,0,32699,13291,0,0,11957,0,0,0,233123,122257,
1985,FISH,54584,0,16137,0,82483,4844,0,58352,31119,181,0,3373,0,0,0,196489,196755,
1986,FISH,18393,0,6462,0,42061,605,0,18666,6495,0,0,2121,257,0,0,76667,361730,
1987,FISH,76314,0,606,0,87935,0,0,21013,33176,0,0,19283,0,0,0,162013,199688,
1988,FISH,58038,0,5788,0,139272,680,0,113523,56502,0,0,16103,0,0,846,332714,275873,
1989,FISH,53932,0,236,0,169596,1135,0,39680,39891,0,0,33236,810,0,0,284584,183532,
1990,FISH,35197,0,1691,0,95464,2045,0,69799,32281,0,650,5948,345,0,0,208223,114221,
1991,FISH,53025,0,6505,0,126496,1778,0,19827,33074,0,218,7505,0,0,153,195556,41165,
1992,FISH,63960,0,10627,0,122759,334,0,36566,9430,0,56,5305,176,0,0,185253,41787,
1993,FISH,110114,0,595,0,60180,0,0,31007,1638,0,95,579,78,0,0,94172,36036,
1994,FISH,88722,0,129,193,2518,155,0,1254,3618,0,0,1277,0,0,0,9144,63204,
1995,FISH,108340,0,157,0,32659,267,0,8758,2440,0,0,4228,132,0,0,48641,123499,
1996,FISH,56797,0,3237,0,22260,515,0,34183,5069,61,0,868,0,0,0,66193,142980,
1997,FISH,48513,202,245,339,16441,942,0,5273,20256,154,422,9835,0,0,0,54109,39045,
1998,FISH,18789,0,2148,0,92014,1911,0,77908,17075,0,384,3715,0,0,0,195155,18785,
1999,FISH,25199,0,3023,0,37036,433,0,18131,814,0,0,392,0,0,0,59829,36195,
2000,FISH,16704,0,271,0,14080,132,0,2970,2626,0,0,283,0,0,0,20362,43847,
2001,FISH,39093,374,624,791,10421,178,0,3397,2192,0,0,726,0,0,0,18703,25075,
2002,FISH,86181,0,2198,0,27989,346,0,17899,2156,0,0,483,0,0,0,51071,120934,
2003,FISH,86858,0,1988,0,21768,174,0,6922,1210,51,0,0,0,0,0,32113,211713,
2004,FISH,20065,0,1124,0,11111,692,0,11922,7855,0,0,4059,0,0,0,36763,198449,
2005,FISH,12140,0,4606,0,81507,1823,0,29576,25905,0,0,11678,0,0,0,155095,30638,
2006,FISH,26712,1974,8600,7253,145990,245,0,85664,12467,0,0,906,0,0,0,263099,21302,
2007,FISH,23845,945,4993,0,87157,220,0,8500,974,0,0,234,0,0,0,103023,64729,
2008,FISH,19313,0,1263,0,16365,31,0,3221,177,0,0,1301,0,0,0,22358,120100,
2009,FISH,74245,0,216,3646,17431,30,0,6704,3777,0,0,1685,,,,33489,63994,
2010,FISH,126333,0,209,0,46063,214,0,18068,4181,0,,1128,,,,69863,83350,
2011,FISH,66591,0,6670,,93529,264,0,22007,4938,0,,957,,0,0,128365,99052,
2012,FISH,18813,,2373,,33829,0,,7896,2068,,,445,0,0,0,46611,90172,
2013,FISH,18912,,2092,,57024,612,,10598,5576,,0,0,0,0,0,75902,73688,
2014,FISH,43915,,14793,,77992,579,0,2614,3205,0,,294,0,,,99477,,
2015,FISH,102309,,3862,,80197,262,0,7946,3644,0,0,,,,,,,
2016,FISH,46202,,3894,,57943,450,,,,,,,,,,,,
2017,FISH,61469,,3411,0,,,,,,,,,,,,,,
2018,FISH,70588,,,,,,,,,,,,,,,,,
