"","run.year","obs","fitted.all","err.type"
"2",2011,196966,138421.811821506,"RMSE"
"3",2012,26745,75615.5097073052,"RMSE"
"4",2013,21063,23458.9138424332,"RMSE"
"5",2014,57845,22985.1279961107,"RMSE"
"6",2015,117463,112806.43276733,"RMSE"
"7",2016,61902,88485.9106365222,"RMSE"
"8",2017,67945,63274.2901760036,"RMSE"
"9",2018,94611,163505.959892464,"RMSE"
"10",2019,86016,98200.9703713673,"RMSE"
"11",2020,69827,95828.2737813378,"RMSE"
"12",2011,196966,131226.49246183,"MAPE"
"13",2012,26745,78860.2553249352,"MAPE"
"14",2013,21063,29286.5658958383,"MAPE"
"15",2014,57845,23383.0298105669,"MAPE"
"16",2015,117463,112084.124782444,"MAPE"
"17",2016,61902,88340.3719887648,"MAPE"
"18",2017,67945,62793.4040069569,"MAPE"
"19",2018,94611,163701.089814896,"MAPE"
"20",2019,86016,96831.5489656186,"MAPE"
"21",2020,69827,94878.8937655582,"MAPE"
"22",2011,196966,138421.811821506,"MAE"
"23",2012,26745,75615.5097073052,"MAE"
"24",2013,21063,23458.9138424332,"MAE"
"25",2014,57845,22985.1279961107,"MAE"
"26",2015,117463,112806.43276733,"MAE"
"27",2016,61902,88485.9106365222,"MAE"
"28",2017,67945,63274.2901760036,"MAE"
"29",2018,94611,163505.959892464,"MAE"
"30",2019,86016,98200.9703713673,"MAE"
"31",2020,69827,95828.2737813378,"MAE"
"32",2011,196966,126974.201712618,"MPE"
"33",2012,26745,132729.036640434,"MPE"
"34",2013,21063,126680.94740896,"MPE"
"35",2014,57845,97252.5576450033,"MPE"
"36",2015,117463,94541.7448269911,"MPE"
"37",2016,61902,84381.6155708343,"MPE"
"38",2017,67945,74610.7111690467,"MPE"
"39",2018,94611,78382.5944678112,"MPE"
"40",2019,86016,94861.7023581297,"MPE"
"41",2020,69827,98362.1038253035,"MPE"
"42",2011,196966,130878.869414519,"ME"
"43",2012,26745,101396.745896552,"ME"
"44",2013,21063,84892.9908712772,"ME"
"45",2014,57845,79776.9274053348,"ME"
"46",2015,117463,134743.446958291,"ME"
"47",2016,61902,99519.4649607538,"ME"
"48",2017,67945,94640.9375510144,"ME"
"49",2018,94611,201906.670443011,"ME"
"50",2019,86016,110092.466477779,"ME"
"51",2020,69827,107151.362828071,"ME"
