"","run.year","obs","fitted.all","err.type"
"2",2011,765272,807370.647177265,"RMSE"
"3",2012,558076,755587.10739436,"RMSE"
"4",2013,905491,838238.12252136,"RMSE"
"5",2014,1067432,865758.94727515,"RMSE"
"6",2015,1126945,908758.465024452,"RMSE"
"7",2016,546810,799941.395984533,"RMSE"
"8",2017,782726,712636.349633818,"RMSE"
"9",2018,686158,839121.258685851,"RMSE"
"10",2019,655947,816375.4523606,"RMSE"
"11",2020,814978,787659.808909046,"RMSE"
"12",2011,765272,724040.459415558,"MAPE"
"13",2012,558076,659653.857817905,"MAPE"
"15",2014,1067432,882333.707042791,"MAPE"
"16",2015,1126945,893424.64380473,"MAPE"
"18",2017,782726,755440.128395963,"MAPE"
"20",2019,655947,786378.59706599,"MAPE"
"21",2020,814978,751755.163240753,"MAPE"
"22",2011,765272,844162.022265283,"MAE"
"23",2012,558076,767462.012703326,"MAE"
"24",2013,905491,828412.092561188,"MAE"
"25",2014,1067432,853038.501469923,"MAE"
"26",2015,1126945,900008.217088265,"MAE"
"27",2016,546810,838324.506889952,"MAE"
"28",2017,782726,809149.833828306,"MAE"
"29",2018,686158,921183.61619055,"MAE"
"30",2019,655947,917219.741403067,"MAE"
"31",2020,814978,745384.500288815,"MAE"
"32",2011,765272,1167753.12512712,"MPE"
"33",2012,558076,1025194.78847611,"MPE"
"34",2013,905491,946675.559591387,"MPE"
"35",2014,1067432,870298.965176348,"MPE"
"36",2015,1126945,775523.343538077,"MPE"
"37",2016,546810,888620.191999543,"MPE"
"38",2017,782726,984533.157993757,"MPE"
"39",2018,686158,1075156.79879705,"MPE"
"40",2019,655947,1012951.53098039,"MPE"
"41",2020,814978,831096.147641969,"MPE"
"42",2011,765272,1175635.33664981,"ME"
"43",2012,558076,1027333.06901306,"ME"
"44",2013,905491,950978.143080658,"ME"
"45",2014,1067432,878356.354339331,"ME"
"46",2015,1126945,777431.71094949,"ME"
"47",2016,546810,898884.378613036,"ME"
"48",2017,782726,983466.770961022,"ME"
"49",2018,686158,1074531.50598367,"ME"
"50",2019,655947,1010810.57140415,"ME"
"51",2020,814978,815993.133068527,"ME"
