YEAR,ESCP,FABND0,FABND1,FSWT0,FSWT1,SM1,SM2,SWT1,SWT2,R0_2,R1_1,R0_3,R1_2,R2_1,R0_4,R1_3,R2_2,R3_1,R1_4,R2_3,R3_2,R2_4,R3_3,TRTRN,LBBRUN
1968,115545,.,.,.,.,.,.,.,.,0,0,0,169641,894,0,657176,77265,0,1456,53737,0,0,0,960169,63.5
1969,72901,.,.,.,.,.,.,.,.,0,894,0,37929,7740,0,209347,94190,0,10719,66771,3356,0,0,430947,25.66
1970,101794,.,.,.,.,.,.,.,.,0,1548,0,65999,6143,0,195322,136422,0,0,136620,8869,0,0,550923,10.71
1971,406714,.,.,.,.,.,.,.,.,0,4472,0,57003,10019,0,338382,299954,0,10340,266227,0,0,0,986397,15.02
1972,431058,.,.,.,.,.,.,.,.,0,5738,0,564078,17738,0,1656310,182117,0,1140,120729,0,0,0,2547851,37.31
1973,507072,.,.,.,.,.,.,.,.,0,8966,0,153573,0,0,1825724,87313,0,0,50410,0,0,0,2125986,38.64
1974,209836,.,.,.,.,.,.,.,.,0,0,0,59726,1710,0,488947,94517,0,0,143167,0,0,0,788067,23.5
1975,184262,.,.,.,.,.,.,.,.,0,0,0,162573,0,0,623465,209203,0,0,60134,0,0,0,1055374,31.47
1976,507440,.,.,.,.,.,.,.,.,0,1391,0,457669,6092,0,804077,95057,1142,2930,136830,0,888,0,1506075,61.77
1977,951038,.,.,.,.,.,.,.,.,0,41798,0,212814,3251,0,2421422,67322,0,18530,347108,0,0,607,3112852,107.27
1978,511781,.,.,.,.,.,.,.,.,0,0,0,136855,0,0,3251291,67268,0,38048,285819,6343,0,0,3785623,103.33
1979,373810,.,.,.,.,.,.,.,.,0,1295,29452,259220,4699,0,566002,149740,0,11224,293135,4813,2126,0,1321707,61.75
1980,600813,.,.,.,.,.,.,.,.,0,3655,18199,218992,2614,691,1599089,271732,0,14945,545092,0,0,0,2675007,72.81
1981,527554,.,.,.,.,.,.,.,.,825,0,7824,301607,2220,0,1245372,295444,0,6783,605745,0,0,0,2465818,90.74
1982,755413,.,.,.,.,.,.,.,.,4418,1394,36636,804160,1950,2978,7663538,298241,0,23317,745085,0,9482,0,9591200,81.34
1983,792765,.,.,.,.,.,.,.,.,1216,0,22901,796367,0,0,4465792,262937,0,49750,3879711,0,10975,0,9489648,63.03
1984,446397,.,2536536,.,.,.,.,.,.,0,0,2383,547677,4518,0,1664505,704461,7674,19966,907035,6302,613,0,3865134,52.69
1985,573836,22217486,0,1.7,.,.,.,.,.,0,4130,4862,314942,20065,0,1570509,298317,0,4884,374574,685,0,0,2592968,52.37
1986,546872,10182400,94089,.,.,.,.,.,.,1727,4959,15706,391092,3222,2048,840180,141266,0,11419,755024,0,8199,0,2174842,69.75
