"","run.year","obs","fitted.all","err.type"
"2",2011,4059862,2432284.26170112,"RMSE"
"3",2012,4613656,3898168.01329982,"RMSE"
"4",2013,3539569,3658155.15532974,"RMSE"
"5",2014,3235490,3870927.98585119,"RMSE"
"6",2015,3834000,3086528.82817465,"RMSE"
"7",2016,3461340,4558524.00569751,"RMSE"
"8",2017,2821819,3232916.82287761,"RMSE"
"9",2018,1601465,2981151.84171406,"RMSE"
"10",2019,3619111,3427858.08835149,"RMSE"
"11",2020,2505054,2165138.55184373,"RMSE"
"12",2011,4059862,2365958.51699081,"MAPE"
"13",2012,4613656,3668854.17499357,"MAPE"
"14",2013,3539569,3505937.30089896,"MAPE"
"15",2014,3235490,3446629.37759418,"MAPE"
"16",2015,3834000,2856042.3157139,"MAPE"
"17",2016,3461340,3777226.60555359,"MAPE"
"18",2017,2821819,2405022.53651344,"MAPE"
"19",2018,1601465,1954109.94184237,"MAPE"
"20",2019,3619111,3673110.23423071,"MAPE"
"21",2020,2505054,2062125.13585623,"MAPE"
"22",2011,4059862,2308044.08037482,"MAE"
"23",2012,4613656,3805508.46957357,"MAE"
"24",2013,3539569,3613646.31592152,"MAE"
"25",2014,3235490,3880925.24196317,"MAE"
"26",2015,3834000,3126692.08274373,"MAE"
"27",2016,3461340,4538679.96507003,"MAE"
"28",2017,2821819,3181178.22556673,"MAE"
"29",2018,1601465,3017151.71773452,"MAE"
"30",2019,3619111,3385345.98037214,"MAE"
"31",2020,2505054,2064876.423316,"MAE"
"32",2011,4059862,2963287.32033842,"MPE"
"33",2012,4613656,3428267.57108399,"MPE"
"34",2013,3539569,5586718.22524279,"MPE"
"35",2014,3235490,3932316.88032135,"MPE"
"36",2015,3834000,3445568.15527063,"MPE"
"37",2016,3461340,3608605.56668884,"MPE"
"38",2017,2821819,3858943.89407264,"MPE"
"39",2018,1601465,3838419.31969384,"MPE"
"40",2019,3619111,3495390.81574421,"MPE"
"41",2020,2505054,3368527.95435651,"MPE"
"42",2011,4059862,3006963.29664102,"ME"
"43",2012,4613656,3472976.16377695,"ME"
"44",2013,3539569,5644340.94051104,"ME"
"45",2014,3235490,3857441.81593848,"ME"
"46",2015,3834000,3562757.2017473,"ME"
"47",2016,3461340,3697543.51792922,"ME"
"48",2017,2821819,3853911.67781442,"ME"
"49",2018,1601465,3840498.62154809,"ME"
"50",2019,3619111,3327572.75754916,"ME"
"51",2020,2505054,3345308.29716881,"ME"
