"","Year","Spawners","R03","R12","R13","R22","R23","R03S","R12S","R13S","R22S","R23S"
"1",2000,NA,NA,NA,NA,NA,28132.6288,NA,NA,NA,NA,NA
"2",2001,NA,NA,NA,157151.4728,26409.2724,49905.542,NA,NA,NA,NA,NA
"3",2002,NA,12203.2264,231814.7244,367153.9119,33657.226,61403.5008,NA,NA,NA,NA,NA
"4",2003,NA,15087.722,101261.8265,260112.052,29310.2968,27166.4432,NA,NA,NA,NA,NA
"5",2004,NA,24597.3088,57363.7968,140605.5651,40717.6289,71606.146,NA,NA,NA,NA,NA
"6",2005,NA,5862.5697,91174.1714,71973.514,15735.596,33012.3181,NA,NA,NA,NA,NA
"7",2006,415521,10469.988,98332.168,299965.109,22026.1633,37322.6471,0.0251972535684117,0.236647890239001,0.721901201142662,0.0530085442131685,0.0898213257573023
"8",2007,322444,90151.0938,65055.2696,130741.5858,39312.3325,29671.1676,0.279586823758544,0.201756799940455,0.405470673357234,0.121919876009478,0.0920195990621627
"9",2008,299450,7028.0823,79138.1322,219633.4108,17694.1984,30253.4208,0.0234699692770078,0.264278284187677,0.733456038737686,0.0590889911504425,0.101029957588913
"10",2009,207308,9932.1208,95732.2904,102623.751,39250.1538,53373.888,0.0479099735659019,0.461787728404114,0.49503034615162,0.189332557354275,0.25746178632759
"11",2010,184472,4330.6308,120281.7456,331889.604,17849.82,41584.796,0.0234758163840583,0.652032533934689,1.79913268138254,0.0967616765688018,0.225426059239343
"12",2011,307647,27155.136,142798.56,211403.6995,25260.186,51516.3525,0.0882671893436308,0.464163668100128,0.687163208157401,0.0821076948580678,0.167452803050249
"13",2012,135948,23112.211,93565.791,192001.0075,32591.165,1772.849,0.170007730897108,0.688246910583458,1.41231211566187,0.239732581575308,0.0130406405390296
"14",2013,219130,2669.4475,117455.69,97288.4982,31747.6344,7359.4104,0.0121820266508465,0.536009172637247,0.443976170309862,0.144880365080089,0.033584677588646
"15",2014,161759,0,140355.0916,139045.8816,1409.2488,13935.8826,0,0.867680262612899,0.859586678948312,0.00871202715150316,0.0861521312569934
"16",2015,367871,182.6804,111983.0852,134938.3041,26448.2073,NA,0.000496588206191844,0.304408570395601,0.366808756602178,0.0718953309719983,NA
"17",2016,293607,0,71777.2878,NA,NA,NA,0,0.244467222511725,NA,NA,NA
"18",2017,203038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2018,161027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2019,172949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2020,200705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
